Attribute,Description,Valid Values,Requires,Properties,Required,Parent,Requires Component,Source
dHealth,,,,,FALSE,,,
consortium,The name of the consortium,mHealth,,,TRUE,dHealth,,
mHealth,Annotation indication for dHealth or mHealth data.,,,,TRUE,consortium,,
dataAccessInstructions,"Synapse location of the data access instructions to be pulled in to the portal. Locations should be in the form of Synapse wiki paths (e.g. syn20681023/wiki/594683 or syn20681023/wiki/594685) or Synapse IDs, as appropriate.",,,,TRUE,dHealth,,
dataCollectionMethod,methods of data collection method or modality,"active, patient reported outcome, clinical assessment, passive",,,TRUE,dHealth,,
active,active task or assessment,,,,FALSE,dataCollectionMethod,,
clinical assessment,clinical assessment or phenotype,,,,FALSE,dataCollectionMethod,,
passive,passive monitoring or data collection,,,,FALSE,dataCollectionMethod,,
patient reported outcome,patient reported outcome or phenotype,,,,FALSE,dataCollectionMethod,,
deviceLocation,Location of wearable device or sensor during data collection,"hand, pocket, flat surface, chest, finger, wrist, face, waist, forearm, shank, back",,,FALSE,dHealth,,
back,The dorsal area between the base of the neck and the sacrum.,,,,FALSE,deviceLocation,,http://purl.obolibrary.org/obo/NCIT_C13062
chest,The anterior side of the thorax from the neck to the abdomen.,,,,FALSE,deviceLocation,,http://purl.obolibrary.org/obo/NCIT_C25389
face,"The anterior portion of the head extending from the forehead to the chin and ear to ear. The facial structures contain the eyes, nose and mouth, cheeks and jaws.",,,,FALSE,deviceLocation,,http://purl.obolibrary.org/obo/NCIT_C13071
finger,Any of the digits of the hand.,,,,FALSE,deviceLocation,,http://purl.obolibrary.org/obo/NCIT_C32608
flat surface,"A plane horizontal surface such as a table, desk or counter top",,,,FALSE,deviceLocation,,
forearm,"The structure on the upper limb, between the elbow and the wrist.",,,,FALSE,deviceLocation,,http://purl.obolibrary.org/obo/NCIT_C32628
hand,"The distal portion of the upper extremity. It consists of the carpus, metacarpus, and digits.",,,,FALSE,deviceLocation,,http://purl.obolibrary.org/obo/NCIT_C32712
pocket,"a small bag sewn into or on clothing so as to form part of it, used for carrying small articles",,,,FALSE,deviceLocation,,
shank,"Lower leg, between the knee and ankle.",,,,FALSE,deviceLocation,,
waist,The abdominal circumference at the navel. ,,,,FALSE,deviceLocation,,http://purl.obolibrary.org/obo/NCIT_C64192
wrist,Narrow region between the hand and the forearm,,,,FALSE,deviceLocation,,
devicePlatform,The device platform or operating system that is used to carry out an experiment.,"Android, Fitbit, GENEActiv, iOS, Pantone, Pebble OS, Polar, Shimmer, Windows",,,FALSE,dHealth,,
Android,"touchscreen and wearable mobile devices such as smartphones, tablets and smartwatches running Android software",,,,FALSE,devicePlatform,,
Fitbit,"activity trackers, smartwatches, wearable technology devices manufactured by Fitbit",,,,FALSE,devicePlatform,,
GENEActiv,wearable devices manufactured by Activinsights,,,,FALSE,devicePlatform,,
